City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,praia da vitoria,38.7333,-27.0667,21.14,64,20,8.44,PT,1710430833
300,badr hunayn,23.7829,38.7905,28.89,57,39,1.25,SA,1710430833
301,labasa,-16.4167,179.3833,25.97,92,100,4.99,FJ,1710430834
302,haiku-pauwela,20.9219,-156.3051,20.58,94,100,5.66,US,1710430834
303,armacao de buzios,-22.7469,-41.8817,30.03,75,3,4.28,BR,1710430834
304,amasra,41.7463,32.3863,9.62,87,25,0.46,TR,1710430834
305,bereket,39.2446,55.5154,10.61,43,90,12.92,TM,1710430835
306,sirte,31.2089,16.5887,16.84,58,21,5.05,LY,1710430835
307,nizhniy kuranakh,58.8353,125.4869,-15.36,98,100,0.9,RU,1710430835
308,pasni,25.2631,63.471,25.23,30,0,8.99,PK,1710430836
309,vilhena,-12.7406,-60.1458,31.12,55,0,3.09,BR,1710430836
310,sarupathar,26.1984,93.8094,20.3,54,60,2.05,IN,1710430836
311,kabala,9.5833,-11.55,40.44,13,79,1.49,SL,1710430837
312,port saint john's,-31.6229,29.5448,21.05,80,31,1.44,ZA,1710430837
313,swift current,50.2834,-107.8014,-1.55,100,100,4.63,CA,1710430837
314,robbah,33.2797,6.9098,22.85,19,80,2.79,DZ,1710430838
315,djambala,-2.5447,14.7533,29.8,55,66,1.59,CG,1710430838
316,el granada,37.5027,-122.4694,15.19,40,100,8.75,US,1710430838
317,malabar,-33.9667,151.25,18.84,81,75,10.29,AU,1710430838
318,daru,-9.0763,143.2092,25.47,91,100,2.53,PG,1710430839
319,hawaiian paradise park,19.5933,-154.9731,19.46,90,0,3.09,US,1710430839
320,itoman,26.1247,127.6694,19.43,66,40,2.06,JP,1710430839
321,mili,6.0815,171.735,27.76,81,100,9.48,MH,1710430839
322,sydney,-33.8679,151.2073,18.61,84,75,10.29,AU,1710430307
323,kousseri,12.0769,15.0306,40.98,6,100,4.63,CM,1710430840
324,malango,-2.9627,119.9001,19.9,98,100,1.2,ID,1710430840
325,zimovniki,47.1483,42.4633,5.1,62,100,7.77,RU,1710430841
326,nasir,15.5894,32.5634,39.36,8,95,1.74,SD,1710430841
327,ta`u,-14.2336,-169.5144,27.9,80,96,2.38,AS,1710430841
328,filingue,14.3521,3.3168,39.51,15,11,3.66,NE,1710430842
329,aswan,24.0934,32.907,33.61,7,0,3.6,EG,1710430842
330,shenjiamen,29.9576,122.298,10.79,85,100,2.45,CN,1710430842
331,inhambane,-23.865,35.3833,27.99,78,75,4.12,MZ,1710430842
332,zhezqazghan,47.7833,67.7667,-10.68,85,40,4.0,KZ,1710430680
333,constitucion,-35.3333,-72.4167,20.08,54,1,7.12,CL,1710430843
334,nchelenge,-9.3451,28.734,25.37,75,89,0.14,ZM,1710430843
335,geraldton,-28.7667,114.6,22.23,88,0,2.57,AU,1710430843
336,paoua,7.2427,16.4406,36.78,21,96,3.63,CF,1710430844
337,kapuskasing,49.4169,-82.4331,-2.95,93,100,4.63,CA,1710430844
338,al bayda,32.7627,21.7551,10.93,76,90,5.1,LY,1710430844
339,roma,43.2128,-75.4557,14.76,55,73,1.34,US,1710430844
340,chernyshevsk,52.5243,117.0174,-14.64,88,3,1.6,RU,1710430845
341,ellon,57.3641,-2.0731,9.2,81,100,3.09,GB,1710430845
342,sogndal,61.2283,7.1003,7.21,75,40,7.72,NO,1710430846
343,thanh hoa,19.8,105.7667,21.21,93,97,1.96,VN,1710430846
344,langepas,61.2544,75.2124,-17.43,91,21,3.56,RU,1710430846
345,saudarkrokur,65.7461,-19.6394,-1.88,74,91,1.47,IS,1710430846
346,richards bay,-28.783,32.0377,20.82,86,100,4.35,ZA,1710430847
347,dunedin,-45.8742,170.5036,9.33,87,100,3.13,NZ,1710430847
348,bubaque,11.2833,-15.8333,26.66,60,32,5.4,GW,1710430847
349,vadso,70.0744,29.7487,-2.91,93,100,3.6,NO,1710430847
350,manokwari,-0.8667,134.0833,26.01,83,100,3.48,ID,1710430848
351,igarka,67.4667,86.5833,-23.56,98,93,2.64,RU,1710430848
352,tiruchchendur,8.4833,78.1167,27.83,84,5,4.99,IN,1710430849
353,belmonte,-15.8631,-38.8828,30.21,66,64,4.58,BR,1710430849
354,luderitz,-26.6481,15.1594,20.92,62,4,9.56,NA,1710430849
355,mahdia,35.5047,11.0622,17.97,62,0,5.43,TN,1710430849
356,gumdag,39.2061,54.5906,11.04,39,89,13.6,TM,1710430850
357,gagliano del capo,39.8442,18.3695,15.45,63,20,3.6,IT,1710430698
358,teruel,40.6667,-0.6667,15.85,45,40,6.89,ES,1710430850
359,general jose de san martin,-26.5374,-59.3416,39.21,34,63,4.85,AR,1710430850
